transaction_id,customer_id,amount,payment_method,failure_code,direction,attempt_number,timestamp,recovered
TXN10020,CUST3878,4483.11,UPI,WRONG_OTP,payment_failure,1,2026-08-17 02:11:39,0
TXN10021,CUST2442,23622.5,Credit Card,CREDIT_LIMIT_HIT,b2b_receivable,2,2026-08-25 17:29:39,0
TXN10022,CUST9238,5060.91,UPI,CHECKOUT_TIMEOUT,checkout_abandonment,2,2026-08-07 05:38:59,1
TXN10023,CUST1753,7730.12,UPI,UPI_TIMEOUT,payment_failure,3,2026-09-02 04:12:38,1
TXN10024,CUST6304,580.57,UPI,WRONG_OTP,payment_failure,1,2026-09-01 12:46:19,0
TXN10025,CUST5403,14304.59,Debit Card,UPI_TIMEOUT,payment_failure,1,2026-08-25 23:12:26,1
TXN10026,CUST4763,320809.61,Credit Card,CREDIT_LIMIT_HIT,b2b_receivable,2,2026-08-12 05:02:31,0
TXN10027,CUST7343,2935.91,Debit Card,MANDATE_EXPIRED,subscription_lapsed,3,2026-08-13 05:12:04,0
TXN10028,CUST1962,10860.36,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-09-02 09:27:56,0
TXN10029,CUST8267,12739.87,Net Banking,BANK_SERVER_DOWN,payment_failure,2,2026-08-15 10:13:23,1
TXN10030,CUST2315,11766.36,Debit Card,UPI_TIMEOUT,payment_failure,1,2026-09-03 12:02:21,1
TXN10031,CUST4798,8367.82,Debit Card,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-28 08:56:40,0
TXN10032,CUST6761,8968.88,Debit Card,UPI_TIMEOUT,payment_failure,3,2026-08-31 01:59:05,1
TXN10033,CUST7547,9520.16,Credit Card,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-07 23:41:37,0
TXN10034,CUST2922,13653.02,Credit Card,UPI_TIMEOUT,payment_failure,4,2026-08-15 23:18:28,0
TXN10035,CUST4878,5433.8,Net Banking,WRONG_OTP,payment_failure,4,2026-08-07 16:43:06,0
TXN10036,CUST3837,14513.61,UPI,CARD_EXPIRED,payment_failure,1,2026-08-09 16:41:13,0
TXN10037,CUST3406,631.25,Credit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-26 14:35:03,0
TXN10038,CUST4533,7142.3,UPI,WRONG_OTP,payment_failure,3,2026-08-15 05:41:11,1
TXN10039,CUST8454,31897.98,Net Banking,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-08-05 05:27:41,0
TXN10040,CUST1025,2661.62,Credit Card,SUBSCRIPTION_PAUSED,subscription_lapsed,2,2026-08-16 05:36:24,0
TXN10041,CUST3740,209409.2,Net Banking,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-08-16 17:18:56,0
TXN10042,CUST1477,1065.52,Net Banking,MANDATE_EXPIRED,subscription_lapsed,2,2026-08-13 23:15:19,0
TXN10043,CUST3846,14227.42,Net Banking,WRONG_OTP,payment_failure,1,2026-08-09 15:25:42,0
TXN10044,CUST7437,11773.0,Debit Card,BANK_SERVER_DOWN,payment_failure,1,2026-08-23 00:56:35,0
TXN10045,CUST5097,6272.3,UPI,CART_ABANDONED,checkout_abandonment,1,2026-08-20 01:11:47,1
TXN10046,CUST6977,13570.28,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-22 10:11:39,0
TXN10047,CUST5895,4291.23,Debit Card,UPI_TIMEOUT,payment_failure,3,2026-08-31 03:34:41,1
TXN10048,CUST9992,1695.64,UPI,CART_ABANDONED,checkout_abandonment,3,2026-08-17 18:50:12,0
TXN10049,CUST5140,7273.24,Credit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-24 00:03:41,1
TXN10050,CUST1712,5445.27,Net Banking,CHECKOUT_TIMEOUT,checkout_abandonment,2,2026-08-31 18:54:44,0
TXN10051,CUST7743,14295.43,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-14 13:12:55,0
TXN10052,CUST6571,479617.82,UPI,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-09-02 11:07:30,0
TXN10053,CUST2245,13638.7,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-30 16:23:20,0
TXN10054,CUST4641,1707.33,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-12 05:42:58,1
TXN10055,CUST9537,1440.16,Net Banking,PLAN_UPGRADE_FAILED,subscription_lapsed,4,2026-08-22 22:00:24,0
TXN10056,CUST7511,7130.77,UPI,CARD_EXPIRED,payment_failure,1,2026-08-21 23:39:52,0
TXN10057,CUST8579,3014.28,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-08-12 12:41:07,1
TXN10058,CUST5942,9079.72,Debit Card,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-08 02:49:41,0
TXN10059,CUST2697,14811.04,UPI,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-15 01:33:07,0
TXN10060,CUST6782,1458.72,Net Banking,SUBSCRIPTION_PAUSED,subscription_lapsed,2,2026-08-11 19:51:58,1
TXN10061,CUST5336,8541.11,UPI,CARD_EXPIRED,payment_failure,1,2026-08-19 22:32:58,0
TXN10062,CUST2646,11251.89,Net Banking,BANK_SERVER_DOWN,payment_failure,4,2026-08-19 16:21:45,0
TXN10063,CUST7071,8575.37,UPI,WRONG_OTP,payment_failure,1,2026-09-01 16:47:25,1
TXN10064,CUST2887,8720.81,Net Banking,CARD_EXPIRED,payment_failure,2,2026-08-17 00:14:59,0
TXN10065,CUST3852,4638.66,Credit Card,UPI_TIMEOUT,payment_failure,2,2026-08-08 12:51:39,0
TXN10066,CUST3137,7273.72,Debit Card,UPI_TIMEOUT,payment_failure,3,2026-08-23 21:12:49,1
TXN10067,CUST4308,2066.68,Net Banking,CARD_EXPIRED,payment_failure,1,2026-08-19 17:45:09,0
TXN10068,CUST8478,13152.55,Credit Card,UPI_TIMEOUT,payment_failure,3,2026-08-20 17:09:12,1
TXN10069,CUST7385,3469.78,Net Banking,CART_ABANDONED,checkout_abandonment,1,2026-08-10 02:04:39,1
TXN10070,CUST2752,14174.43,Net Banking,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-06 15:36:21,0
TXN10071,CUST7932,7233.65,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-15 04:33:49,0
TXN10072,CUST9060,1148.85,Net Banking,CART_ABANDONED,checkout_abandonment,2,2026-08-20 19:03:31,1
TXN10073,CUST9436,371506.36,Credit Card,INVOICE_OVERDUE,b2b_receivable,1,2026-08-06 18:26:35,1
TXN10074,CUST6175,1206.4,UPI,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-30 02:42:43,1
TXN10075,CUST5016,7501.23,Credit Card,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-10 09:15:30,0
TXN10076,CUST8757,429202.01,Net Banking,INVOICE_OVERDUE,b2b_receivable,3,2026-08-25 10:26:05,0
TXN10077,CUST8541,772.16,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-30 17:01:46,0
TXN10078,CUST5454,1997.78,UPI,SHIPPING_CONFUSION,checkout_abandonment,1,2026-08-18 17:34:33,1
TXN10079,CUST7313,7696.48,UPI,PROMO_INVALID,checkout_abandonment,1,2026-08-28 18:41:04,1
TXN10080,CUST9797,1971.39,Net Banking,SUBSCRIPTION_PAUSED,subscription_lapsed,1,2026-08-10 03:01:28,1
TXN10081,CUST1852,4213.75,Debit Card,CART_ABANDONED,checkout_abandonment,3,2026-08-17 02:31:30,0
TXN10082,CUST6700,9658.45,Net Banking,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-14 01:03:52,0
TXN10083,CUST2650,5606.61,UPI,CART_ABANDONED,checkout_abandonment,2,2026-08-21 19:01:24,0
TXN10084,CUST6273,1636.28,Credit Card,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-31 14:10:25,0
TXN10085,CUST9169,109.25,Debit Card,PLAN_UPGRADE_FAILED,subscription_lapsed,1,2026-08-25 02:28:30,0
TXN10086,CUST7929,381638.52,Debit Card,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-08-05 17:29:32,0
TXN10087,CUST1783,741.02,Credit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-13 23:44:02,0
TXN10088,CUST7773,1982.41,Debit Card,MANDATE_EXPIRED,subscription_lapsed,1,2026-08-18 17:32:20,1
TXN10089,CUST8178,12696.22,UPI,BANK_SERVER_DOWN,payment_failure,1,2026-08-30 02:50:41,1
TXN10090,CUST7620,7855.46,Credit Card,UPI_TIMEOUT,payment_failure,3,2026-09-03 16:51:03,0
TXN10091,CUST1096,3633.73,UPI,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-17 04:10:52,1
TXN10092,CUST5673,14782.56,Debit Card,INSUFFICIENT_FUNDS,payment_failure,4,2026-08-21 04:51:02,0
TXN10093,CUST8529,13433.38,UPI,WRONG_OTP,payment_failure,1,2026-08-28 16:16:44,0
TXN10094,CUST2680,971.31,Net Banking,CARD_EXPIRED,payment_failure,3,2026-09-02 16:14:53,0
TXN10095,CUST2703,220.64,Net Banking,BANK_SERVER_DOWN,payment_failure,3,2026-08-31 00:31:54,0
TXN10096,CUST9395,4191.81,Credit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-13 20:14:27,0
TXN10097,CUST1877,6583.02,Credit Card,WRONG_OTP,payment_failure,2,2026-09-03 15:06:52,0
TXN10098,CUST2467,850.73,Net Banking,CART_ABANDONED,checkout_abandonment,1,2026-08-09 11:50:28,0
TXN10099,CUST3148,3166.16,Net Banking,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-06 11:30:12,1
TXN10100,CUST9351,9323.82,Debit Card,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-31 21:01:56,0
TXN10101,CUST7421,8824.13,Credit Card,UPI_TIMEOUT,payment_failure,3,2026-08-15 02:07:06,1
TXN10102,CUST8503,4031.38,UPI,PROMO_INVALID,checkout_abandonment,1,2026-08-27 22:26:14,1
TXN10103,CUST8308,13861.41,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-15 14:14:13,0
TXN10104,CUST5543,347649.64,Debit Card,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-08-26 17:11:39,0
TXN10105,CUST6353,4785.93,Credit Card,UPI_TIMEOUT,payment_failure,4,2026-08-25 08:23:48,1
TXN10106,CUST7208,1275.8,UPI,MANDATE_EXPIRED,subscription_lapsed,2,2026-08-12 05:30:07,0
TXN10107,CUST8835,6130.91,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-08-27 21:06:13,1
TXN10108,CUST8622,9640.63,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-08-14 21:23:24,1
TXN10109,CUST5722,10117.65,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-28 18:46:37,1
TXN10110,CUST4878,7729.09,UPI,WRONG_OTP,payment_failure,4,2026-08-19 10:45:59,0
TXN10111,CUST7102,1575.89,Credit Card,WRONG_OTP,payment_failure,3,2026-08-19 08:51:57,0
TXN10112,CUST3010,36367.74,Debit Card,INVOICE_OVERDUE,b2b_receivable,1,2026-08-12 09:01:33,0
TXN10113,CUST8391,7797.13,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-29 02:44:27,0
TXN10114,CUST8245,1602.43,Debit Card,SHIPPING_CONFUSION,checkout_abandonment,2,2026-08-15 23:20:58,0
TXN10115,CUST6309,1810.91,Credit Card,MANDATE_EXPIRED,subscription_lapsed,3,2026-08-20 18:45:09,1
TXN10116,CUST7997,6200.15,Debit Card,CHECKOUT_TIMEOUT,checkout_abandonment,2,2026-08-29 20:45:10,0
TXN10117,CUST1188,9018.74,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-31 13:56:25,0
TXN10118,CUST6582,805.7,Credit Card,MANDATE_EXPIRED,subscription_lapsed,4,2026-08-23 05:38:01,0
TXN10119,CUST8629,2044.52,UPI,SUBSCRIPTION_PAUSED,subscription_lapsed,4,2026-08-31 09:15:20,0
TXN10120,CUST6655,6741.7,Debit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-09-03 06:01:37,0
TXN10121,CUST3131,1578.9,UPI,CARD_EXPIRED,payment_failure,2,2026-08-11 16:51:39,0
TXN10122,CUST8305,56127.12,UPI,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-08-12 15:41:56,0
TXN10123,CUST7802,4351.2,Credit Card,CART_ABANDONED,checkout_abandonment,2,2026-08-11 04:13:40,0
TXN10124,CUST7211,5026.83,Debit Card,WRONG_OTP,payment_failure,2,2026-08-16 00:40:51,1
TXN10125,CUST9719,5722.74,Net Banking,INSUFFICIENT_FUNDS,payment_failure,2,2026-09-01 10:55:44,1
TXN10126,CUST2311,14927.45,Credit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-18 04:23:09,0
TXN10127,CUST6168,12674.05,UPI,WRONG_OTP,payment_failure,1,2026-08-06 07:12:44,1
TXN10128,CUST2927,657.38,Debit Card,MANDATE_EXPIRED,subscription_lapsed,1,2026-08-07 05:37:31,0
TXN10129,CUST5708,730.34,UPI,CARD_EXPIRED,payment_failure,1,2026-08-07 01:43:58,0
TXN10130,CUST3155,978.71,Debit Card,PLAN_UPGRADE_FAILED,subscription_lapsed,1,2026-08-30 00:40:39,1
TXN10131,CUST3862,6959.38,Debit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-27 03:59:31,1
TXN10132,CUST2856,6590.37,Credit Card,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-10 04:06:21,1
TXN10133,CUST2040,2461.2,Credit Card,CARD_EXPIRED,payment_failure,2,2026-08-05 21:09:53,0
TXN10134,CUST7363,11765.02,Debit Card,INSUFFICIENT_FUNDS,payment_failure,3,2026-08-23 23:09:57,0
TXN10135,CUST5222,2876.19,Debit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-08 19:41:38,0
TXN10136,CUST5978,13561.42,Debit Card,WRONG_OTP,payment_failure,1,2026-08-05 22:09:52,0
TXN10137,CUST5658,2068.06,Net Banking,WRONG_OTP,payment_failure,1,2026-08-05 22:05:22,1
TXN10138,CUST6542,13051.19,Credit Card,UPI_TIMEOUT,payment_failure,4,2026-08-15 18:10:47,0
TXN10139,CUST6113,10215.55,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-16 17:21:26,0
TXN10140,CUST5127,5819.6,UPI,CART_ABANDONED,checkout_abandonment,1,2026-08-13 20:33:29,1
TXN10141,CUST5989,2075.4,Debit Card,MANDATE_EXPIRED,subscription_lapsed,1,2026-08-27 08:41:40,0
TXN10142,CUST6148,7423.71,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-05 01:55:58,1
TXN10143,CUST9856,4628.6,Credit Card,BANK_SERVER_DOWN,payment_failure,2,2026-08-21 19:41:05,0
TXN10144,CUST1904,269975.52,Debit Card,INVOICE_OVERDUE,b2b_receivable,1,2026-08-30 12:07:03,1
TXN10145,CUST8069,5376.98,UPI,CART_ABANDONED,checkout_abandonment,3,2026-08-19 16:32:22,0
TXN10146,CUST7671,6367.65,UPI,UPI_TIMEOUT,payment_failure,1,2026-08-18 17:15:06,1
TXN10147,CUST1840,2011.64,Credit Card,MANDATE_REVOKED,subscription_lapsed,1,2026-08-28 20:52:13,1
TXN10148,CUST6395,1760.41,Net Banking,MANDATE_REVOKED,subscription_lapsed,4,2026-08-16 15:26:23,0
TXN10149,CUST3906,7301.82,Net Banking,CHECKOUT_TIMEOUT,checkout_abandonment,3,2026-08-21 05:22:26,0
TXN10150,CUST8439,1492.85,Debit Card,CART_ABANDONED,checkout_abandonment,3,2026-08-05 17:31:02,0
TXN10151,CUST5776,239582.93,Net Banking,PAYMENT_DISPUTE,b2b_receivable,1,2026-08-24 16:48:38,0
TXN10152,CUST1611,9758.94,UPI,UPI_TIMEOUT,payment_failure,2,2026-08-28 18:20:19,1
TXN10153,CUST2307,10627.37,UPI,INSUFFICIENT_FUNDS,payment_failure,2,2026-08-12 06:46:40,0
TXN10154,CUST9238,8224.03,Debit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-20 19:58:39,0
TXN10155,CUST4532,9240.22,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-18 04:23:53,0
TXN10156,CUST4960,2134.47,Debit Card,BANK_SERVER_DOWN,payment_failure,1,2026-08-19 09:11:28,1
TXN10157,CUST3793,11421.18,UPI,UPI_TIMEOUT,payment_failure,1,2026-08-06 00:22:38,1
TXN10158,CUST3001,9743.08,UPI,BANK_SERVER_DOWN,payment_failure,1,2026-08-20 04:06:02,1
TXN10159,CUST8199,1447.16,Credit Card,BANK_SERVER_DOWN,payment_failure,1,2026-09-03 22:07:31,0
TXN10160,CUST2771,6292.77,Credit Card,WRONG_OTP,payment_failure,1,2026-08-25 21:16:13,0
TXN10161,CUST7131,12399.62,Net Banking,WRONG_OTP,payment_failure,2,2026-08-15 09:09:19,1
TXN10162,CUST4424,6492.77,Debit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-22 21:06:33,1
TXN10163,CUST4994,2963.6,Credit Card,CART_ABANDONED,checkout_abandonment,3,2026-08-05 08:54:57,0
TXN10164,CUST1579,5867.48,Credit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-19 08:40:27,0
TXN10165,CUST8613,3832.57,UPI,UPI_TIMEOUT,payment_failure,1,2026-08-25 15:41:47,1
TXN10166,CUST2483,6245.29,Debit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-15 23:40:05,0
TXN10167,CUST2276,2346.05,UPI,SHIPPING_CONFUSION,checkout_abandonment,2,2026-08-07 07:55:15,0
TXN10168,CUST1542,91822.69,Credit Card,INVOICE_OVERDUE,b2b_receivable,1,2026-08-25 07:01:09,0
TXN10169,CUST4256,448064.19,Net Banking,INVOICE_OVERDUE,b2b_receivable,2,2026-09-01 04:51:30,0
TXN10170,CUST5088,11982.41,UPI,CARD_EXPIRED,payment_failure,3,2026-08-14 19:40:35,0
TXN10171,CUST1706,484444.05,Net Banking,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-08-20 12:39:26,0
TXN10172,CUST9784,220.3,Net Banking,MANDATE_REVOKED,subscription_lapsed,2,2026-08-29 21:09:52,0
TXN10173,CUST5374,493.62,Credit Card,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-16 16:45:45,1
TXN10174,CUST7348,2137.9,UPI,SHIPPING_CONFUSION,checkout_abandonment,2,2026-08-24 13:03:52,0
TXN10175,CUST4314,481.14,Credit Card,MANDATE_REVOKED,subscription_lapsed,2,2026-08-16 09:26:27,0
TXN10176,CUST9313,464266.59,Credit Card,PAYMENT_DISPUTE,b2b_receivable,1,2026-08-24 19:56:17,0
TXN10177,CUST5953,2257.73,UPI,MANDATE_REVOKED,subscription_lapsed,1,2026-08-13 16:08:54,0
TXN10178,CUST3615,6847.74,Debit Card,INSUFFICIENT_FUNDS,payment_failure,3,2026-08-20 20:23:53,1
TXN10179,CUST6747,2259.82,Credit Card,UPI_TIMEOUT,payment_failure,3,2026-08-27 18:48:41,0
TXN10180,CUST7251,6657.76,UPI,CART_ABANDONED,checkout_abandonment,2,2026-08-20 11:12:36,1
TXN10181,CUST5374,14050.15,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-11 04:09:43,1
TXN10182,CUST9209,1094.0,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-08-30 03:23:18,1
TXN10183,CUST2677,11400.19,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-14 13:34:14,0
TXN10184,CUST5981,2413.85,Debit Card,PLAN_UPGRADE_FAILED,subscription_lapsed,1,2026-08-07 21:29:19,0
TXN10185,CUST8298,468154.21,Debit Card,INVOICE_OVERDUE,b2b_receivable,1,2026-09-02 15:24:29,1
TXN10186,CUST6653,3197.11,Credit Card,CHECKOUT_TIMEOUT,checkout_abandonment,1,2026-08-20 12:44:17,1
TXN10187,CUST8895,10385.66,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-21 11:46:11,0
TXN10188,CUST6021,225401.87,Debit Card,PAYMENT_DISPUTE,b2b_receivable,2,2026-08-31 07:26:33,0
TXN10189,CUST2562,12710.73,Debit Card,UPI_TIMEOUT,payment_failure,2,2026-08-20 12:47:51,0
TXN10190,CUST8517,1178.66,Debit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-17 04:19:17,0
TXN10191,CUST5209,392962.6,Debit Card,INVOICE_OVERDUE,b2b_receivable,1,2026-08-17 05:48:20,1
TXN10192,CUST2486,206275.95,Credit Card,CREDIT_LIMIT_HIT,b2b_receivable,1,2026-09-01 00:02:54,0
TXN10193,CUST1474,10701.34,Net Banking,UPI_TIMEOUT,payment_failure,1,2026-08-15 21:20:48,0
TXN10194,CUST5934,8321.85,Net Banking,CARD_EXPIRED,payment_failure,1,2026-08-13 19:19:37,0
TXN10195,CUST5150,450449.12,Credit Card,CREDIT_LIMIT_HIT,b2b_receivable,3,2026-08-26 17:34:21,0
TXN10196,CUST3415,13561.01,UPI,UPI_TIMEOUT,payment_failure,1,2026-09-02 09:16:27,0
TXN10197,CUST8851,9947.87,Net Banking,UPI_TIMEOUT,payment_failure,2,2026-08-30 22:45:32,1
TXN10198,CUST7553,5111.82,UPI,CARD_EXPIRED,payment_failure,2,2026-08-28 05:11:22,0
TXN10199,CUST6008,5069.89,Credit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-26 10:00:20,0
TXN10200,CUST9850,3674.28,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-29 20:53:22,1
TXN10201,CUST7504,2790.13,Credit Card,BANK_SERVER_DOWN,payment_failure,4,2026-08-23 18:10:50,1
TXN10202,CUST2108,369.07,Debit Card,PLAN_UPGRADE_FAILED,subscription_lapsed,1,2026-08-16 13:04:42,0
TXN10203,CUST8527,1630.5,Debit Card,UPI_TIMEOUT,payment_failure,2,2026-08-27 01:22:06,0
TXN10204,CUST4560,5701.21,Debit Card,CART_ABANDONED,checkout_abandonment,2,2026-08-05 00:37:35,0
TXN10205,CUST4996,5276.9,UPI,UPI_TIMEOUT,payment_failure,2,2026-08-10 08:20:07,1
TXN10206,CUST2914,1187.2,Credit Card,MANDATE_EXPIRED,subscription_lapsed,2,2026-08-16 21:37:54,0
TXN10207,CUST4056,8252.61,Credit Card,UPI_TIMEOUT,payment_failure,1,2026-08-16 12:43:23,1
TXN10208,CUST3320,2825.58,Debit Card,UPI_TIMEOUT,payment_failure,1,2026-08-19 14:19:19,1
TXN10209,CUST5093,14862.0,UPI,UPI_TIMEOUT,payment_failure,4,2026-08-26 18:28:51,0
TXN10210,CUST5952,14711.54,Credit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-17 15:59:36,0
TXN10211,CUST3986,2790.49,Net Banking,CARD_EXPIRED,payment_failure,4,2026-08-23 07:53:04,0
TXN10212,CUST3442,6529.19,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-16 01:30:01,0
TXN10213,CUST2988,3438.07,Net Banking,WRONG_OTP,payment_failure,1,2026-08-12 06:10:35,1
TXN10214,CUST3393,6393.76,Debit Card,CART_ABANDONED,checkout_abandonment,1,2026-08-24 07:00:58,0
TXN10215,CUST2375,8104.56,Net Banking,BANK_SERVER_DOWN,payment_failure,2,2026-08-18 18:53:28,0
TXN10216,CUST9700,8099.52,Debit Card,UPI_TIMEOUT,payment_failure,4,2026-08-10 05:40:37,0
TXN10217,CUST5837,1777.58,Net Banking,CARD_EXPIRED,payment_failure,2,2026-08-24 15:20:20,0
TXN10218,CUST6886,332063.37,Debit Card,PAYMENT_DISPUTE,b2b_receivable,2,2026-08-15 14:24:12,0
TXN10219,CUST6690,5262.87,UPI,CART_ABANDONED,checkout_abandonment,1,2026-08-16 07:42:55,1
TXN10220,CUST2252,1377.15,Credit Card,SHIPPING_CONFUSION,checkout_abandonment,1,2026-08-12 04:31:53,0
TXN10221,CUST9230,174.65,UPI,MANDATE_EXPIRED,subscription_lapsed,2,2026-08-17 18:58:20,0
TXN10222,CUST7771,10113.21,Credit Card,UPI_TIMEOUT,payment_failure,2,2026-08-20 08:02:24,1
TXN10223,CUST2260,1135.42,Net Banking,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-29 12:11:58,1
TXN10224,CUST3262,2660.54,Debit Card,CART_ABANDONED,checkout_abandonment,2,2026-08-06 10:10:06,0
TXN10225,CUST4471,11406.15,Credit Card,UPI_TIMEOUT,payment_failure,4,2026-08-19 23:42:47,1
TXN10226,CUST8286,4886.15,UPI,WRONG_OTP,payment_failure,1,2026-09-02 12:50:12,0
TXN10227,CUST3621,9634.82,Debit Card,UPI_TIMEOUT,payment_failure,1,2026-09-02 20:30:35,1
TXN10228,CUST9595,11131.09,Debit Card,UPI_TIMEOUT,payment_failure,2,2026-08-27 02:40:57,0
TXN10229,CUST4259,3469.97,Debit Card,CART_ABANDONED,checkout_abandonment,3,2026-09-03 11:15:18,0
TXN10230,CUST8341,5803.22,Credit Card,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-19 03:35:56,0
TXN10231,CUST1647,12475.04,UPI,INSUFFICIENT_FUNDS,payment_failure,1,2026-08-27 08:35:18,0
TXN10232,CUST3126,588.03,Debit Card,WRONG_OTP,payment_failure,1,2026-08-08 07:49:56,0
